experience,job_description,job_desig,job_type,key_skills,location,company_name_encoded
27,615,11709,,12953,4,2066
31,8618,11088,,12268,1445,2629
14,9061,11710,,12954,4,2448
45,27,771,,5509,1505,2711
31,27,3225,,3461,22,40
47,275,347,Analytics,352,15,831
21,27,11711,,12955,22,619
40,27,11712,,12956,22,2679
56,9062,11713,,12957,5,1968
31,27,1203,,1246,1506,74
39,8122,10410,,11502,15,1235
43,5111,354,,7044,965,2327
10,5183,6526,,7149,13,1253
19,523,654,Analytics,668,5,1125
14,8911,11501,Analytics,12731,178,715
12,2487,3098,,8057,13,690
18,9063,11714,,12958,15,1889
40,27,11715,,12959,861,2658
6,27,5250,,5709,22,2691
14,9064,11716,,12960,13,866
22,5030,667,,6916,5,487
63,9065,11717,,12961,3,2360
12,7208,9194,Analytics,10118,107,2517
47,9066,11718,,12962,22,141
16,1026,1292,,1932,7,920
53,9067,11719,,12963,5,740
39,6759,8586,,9457,22,1997
6,7809,9954,,11006,266,446
27,27,1892,Analytics,1993,13,970
22,1945,11,,10787,132,920
36,568,709,,725,185,2315
56,5413,6822,Analytics,7467,266,2190
35,9068,2516,,12964,5,498
6,27,11720,,12965,1379,1669
104,3330,11721,,12966,4,2056
81,27,515,,12967,4,104
35,27,11722,,12968,4,1264
40,27,11723,,12969,25,2698
53,27,1156,,12970,6,1692
10,2591,3235,,3471,281,968
46,9069,11724,,12971,5,2549
35,9070,11725,,12972,18,1586
97,1957,2437,Analytics,2601,4,2066
22,7129,667,,9993,13,541
18,27,3064,,12973,22,104
1,9071,354,,12974,5,829
22,29,1199,Analytics,4250,7,104
15,894,1123,,1160,259,1925
6,27,2766,,2955,5,736
14,552,2261,,12975,13,527
54,9072,3820,,12976,13,550
56,9073,11726,,12977,13,236
11,9074,11727,,12978,49,1284
39,3300,4135,,4470,3,1924
31,27,4186,,4524,22,917
30,2360,2934,Analytics,3142,15,1920
49,5144,6478,Analytics,7092,4,2220
35,7246,9239,analytics,10175,22,2672
5,9075,11728,,12979,1507,1127
23,27,11475,,12702,45,1011
30,9076,11729,,12980,4,1920
4,5933,7478,,8218,11,1881
27,9077,11730,,12981,3,2278
45,9078,11731,,12982,13,676
44,1351,8343,,6909,4,2248
93,5666,7137,,7823,1038,728
3,6596,8369,,9222,22,823
21,5011,6296,Analytics,6883,136,2081
12,2157,2697,,12983,4,2246
5,7060,8993,,9896,1226,2008
3,6342,8025,analytics,8847,4,2637
56,9079,11732,Analytics,12984,5,95
14,29,2844,,1147,22,104
35,1410,1763,,1849,86,106
11,27,11733,,12985,5,512
15,9080,11734,,12986,22,1694
17,27,8326,,9178,13,1083
1,5244,6606,,7235,423,1596
6,206,246,,250,79,2090
8,9081,412,,12987,7,863
22,27,11735,,12988,3,1885
6,2480,3092,,3314,22,1881
6,1399,6776,,7421,372,2350
40,9082,11736,,12989,6,1711
27,12,1610,Analytics,12,3,1125
3,27,884,,909,7,833
26,7993,11737,,12990,48,1941
6,9083,11738,,12991,5,1122
12,9084,11739,,12992,6,2348
13,9085,256,,12993,5,1728
26,5738,85,Analytics,7924,13,818
22,27,466,,9536,13,1454
20,1536,944,,2018,393,1270
57,9086,11740,,12994,4,1339
23,9087,11741,,12995,4,2637
39,645,807,,830,22,477
81,1029,11742,Analytics,12996,5,1114
23,5975,7532,,8277,7,2219
15,3708,4639,Analytics,5036,6,963
45,9088,11743,,12997,108,2111
17,2599,11744,Analytics,12998,4,2721
61,3055,3823,,4129,5,486
23,27,4226,,4567,3,882
53,27,11745,,12999,310,2532
22,5814,2122,Analytics,8039,13,104
36,3440,4304,analytics,4659,7,1195
16,9089,11746,,13000,5,1440
13,1193,9045,,7846,7,2400
4,2843,612,Analytics,3830,82,615
63,3202,11747,,13001,13,777
22,9090,11748,,13002,4,5
56,6150,344,Analytics,8561,4,2732
53,7506,7941,,10554,16,2536
30,7231,9220,,10150,12,1549
13,9091,401,,13003,145,1206
17,9092,11749,,13004,14,2438
39,9093,11750,analytics,13005,4,1738
35,5160,11751,,7113,25,825
23,27,11752,,13006,4,601
16,8330,10694,,8761,13,1589
20,27,11753,,13007,5,1196
18,9094,11754,,13008,13,465
1,8473,10901,,12053,11,2486
27,8681,11186,,12373,22,1452
6,6804,8649,,9520,4,2248
8,325,11558,,12798,4,2250
19,9095,433,,13009,13,2052
6,9096,11755,,13010,4,2641
23,27,11756,,13011,4,2570
18,62,66,Analytics,66,29,1913
15,937,1180,Analytics,1222,113,1393
75,9097,11757,,13012,7,164
26,27,11758,,2430,1508,1813
16,9098,11759,,13013,13,2672
27,9099,11760,,13014,7,2004
47,174,3241,,3478,11,1115
14,7989,10221,,11295,3,1296
16,2027,2534,,2701,343,2041
9,9100,4893,,13015,3,769
20,3400,6719,Analytics,7364,3,1114
3,174,7537,,8281,5,1114
31,27,9054,,1706,338,1496
59,2359,2932,,3140,15,517
18,5998,11761,Analytics,13016,4,1129
32,2424,3016,Analytics,3234,5,1838
45,3526,4417,Analytics,4788,13,26
46,9101,11762,Analytics,13017,4,1710
49,8386,10777,,11911,1405,1864
26,27,85,,13018,310,2586
40,9102,11763,,13019,1509,461
47,9103,11764,,13020,189,2100
18,27,10520,Analytics,1329,4,104
6,6547,9847,,10890,13,968
12,8807,2362,,12576,14,1129
61,27,11765,,13021,152,972
22,27,1433,,8838,476,2151
22,1396,7288,Analytics,3126,13,857
24,436,1178,,4366,4,105
35,6410,8120,Analytics,8960,4,1921
17,27,11766,,13022,4,1561
91,1351,5804,,6318,4,2250
14,6042,7631,,8386,13,237
18,8819,11373,,12592,203,318
31,27,1394,,1452,1510,994
6,507,628,,642,4,2190
5,4727,5962,,6493,13,2220
37,1013,1279,analytics,1327,27,1557
40,9104,11767,,13023,5,2053
50,5303,6677,,2648,7,1567
20,3724,684,Analytics,5062,152,899
39,1914,11768,,13024,4,2251
3,27,9145,Analytics,10068,58,1438
13,9105,8242,,13025,4,865
43,9106,11769,,13026,7,464
18,1436,1101,,1881,4,2253
5,9107,11770,,13027,4,2207
56,9108,11771,Analytics,13028,5,95
53,9102,11772,,13029,1509,461
49,8341,355,Analytics,11844,1402,1097
61,9109,11773,,13030,13,1042
52,9110,11774,,13031,7,2154
14,16,16,,16,14,5
53,9111,11775,,13032,15,2294
46,5875,7409,Analytics,8132,6,1950
5,9112,11776,,13033,4,254
22,4504,471,Analytics,490,4,862
26,6110,7724,,13034,176,740
36,4026,5058,Analytics,5485,785,809
22,27,4913,Analytics,5337,4,104
31,5893,7428,,8160,15,2058
8,3717,11777,Analytics,13035,5,1582
3,3036,3801,,4104,5,364
13,27,8599,Analytics,9469,1193,922
26,3152,7400,,13036,4,1881
14,1709,547,,2271,4,538
27,1719,2155,Analytics,2285,14,1125
2,9113,11778,,13037,4,1638
47,27,3314,,3558,15,1447
50,152,177,Analytics,179,6,665
9,27,11779,Analytics,13038,48,1887
35,9114,11780,,13039,5,484
3,27,700,,717,52,1006
37,7327,9336,,10295,13,1401
56,2656,11781,,13040,4,234
43,9115,11782,,13041,555,1051
17,9116,11783,,13042,13,908
26,27,3049,,3268,13,2698
45,27,11784,,8390,4,1199
18,27,11785,,13043,627,2457
22,828,1037,Analytics,1069,13,2677
3,1055,1321,,1371,4,90
40,2698,11786,,12952,10,91
22,4967,6241,,5739,22,1738
24,9117,11787,Analytics,13044,13,817
9,5700,7175,,7865,5,526
6,9118,447,,13045,13,2310
44,27,4123,Analytics,4457,4,1559
22,9119,11788,,13046,13,1949
49,8210,10523,,11637,5,2000
31,27,3146,,3371,57,2093
13,9120,1969,,13047,3,480
81,9121,11,,13048,127,566
14,27,6145,Analytics,13049,4,104
22,27,327,Analytics,9478,7,104
24,1710,2143,,2272,7,2649
17,7683,9804,,10838,4,2007
26,27,11789,,13050,148,1471
13,9122,11790,,13051,13,1313
37,9123,11791,analytics,13052,4,2190
27,6168,7806,,8586,64,1046
13,3223,4045,,4367,13,198
20,9124,11792,,13053,1108,1740
45,9125,11793,,13054,15,1237
77,8814,11364,Analytics,12583,4,1679
46,8467,10896,,12046,11,1542
5,27,466,analytics,13055,497,390
39,27,10685,,11813,22,934
6,27,11794,,13056,18,1076
5,27,11385,Analytics,10201,7,2030
40,27,11795,,86,1511,824
27,2515,3134,,3358,554,1125
31,958,1207,,1250,13,901
30,9126,11796,,13057,13,2226
23,3684,4600,,4996,86,1975
39,9127,11797,,13058,13,2398
22,9128,191,analytics,13059,4,1306
22,2696,3361,,3610,5,2540
12,624,783,,803,13,1053
14,27,5402,,13060,4,104
15,6048,7640,,8396,220,1378
31,27,11798,,13061,3,1732
27,1186,11799,Analytics,13062,3,1114
22,73,11800,,5306,22,2674
35,9129,11801,ANALYTICS,13063,4,1149
40,27,1905,analytics,2009,792,2484
53,27,466,Analytics,13064,132,1351
4,4982,6258,Analytics,6839,13,1638
37,1439,1794,,1884,22,2350
27,966,1217,Analytics,1259,4,564
4,362,450,,460,22,566
6,9130,11802,,13065,369,566
5,9131,11803,,13066,49,2579
9,27,85,,13067,4,978
6,1434,1790,,1879,368,2350
8,6412,1450,,8962,4,2606
27,9132,11804,,13068,1512,844
79,1800,11805,,2393,13,1054
12,419,8161,,538,3,1862
15,9133,11806,Analytics,13069,15,1920
26,27,8856,,9744,544,2652
1,509,630,Analytics,644,7,437
7,1186,1487,Analytics,1552,11,1125
20,1102,85,Analytics,8547,307,2462
53,9134,11807,,13070,67,740
6,3677,11808,analytics,13071,4,2612
24,3384,11560,,4586,5,2135
27,27,11809,,13072,228,434
26,8343,11810,,13073,1513,1859
6,27,11811,,13074,415,2217
18,8483,10917,,12074,5,485
43,27,11812,,13075,4,496
14,1642,2058,Analytics,2179,11,1114
39,9135,440,,13076,93,561
8,5140,6473,analytics,7087,15,2453
40,378,470,,481,15,2078
43,4404,5570,,6059,75,1223
15,9136,11813,,13077,4,660
27,2783,3483,Analytics,3740,4,2718
10,5183,6526,,7149,13,1253
6,5288,11814,Analytics,13078,4,2258
16,9137,11815,,13079,32,1
77,7660,9764,,10793,22,928
46,9138,11816,Analytics,13080,14,777
22,9139,11817,,13081,7,2672
5,27,29,Analytics,5218,4,104
6,5243,6602,,7230,13,1413
14,27,7479,,8219,22,1267
8,8049,10304,,11395,6,485
39,29,1056,Analytics,1090,4,105
37,3420,11818,,13082,1010,2473
22,9140,1604,Analytics,13083,7,104
31,27,11819,,13084,3,2366
17,4444,5614,,1203,13,1019
54,27,11820,,10273,22,644
10,5622,7080,,7759,48,1746
62,9141,11821,,13085,67,647
26,27,1267,,1315,3,1260
78,9142,11822,,13086,4,2407
15,443,556,Analytics,569,13,601
1,9143,11823,,13087,1514,2298
37,27,11824,analytics,13088,15,317
6,27,6558,Analytics,7186,18,425
21,9144,10640,,13089,5,2651
36,1871,8519,,2490,7,464
22,9145,11825,,13090,1362,171
12,27,256,,13091,5,1155
53,9146,11826,,13092,15,1974
35,27,7707,Analytics,8470,4,2364
22,3345,11827,,13093,13,2713
10,516,4651,Analytics,5050,4,2253
5,9147,11828,,13094,4,740
17,9005,11634,,12879,7,573
44,4000,11,,5450,369,1033
15,6553,11829,Analytics,13095,34,1125
26,5876,52,Analytics,8133,4,1287
1,9148,11830,,13096,4,970
6,5288,11814,Analytics,13078,4,2258
6,3352,11831,,13097,14,1126
13,27,11832,,13098,5,1191
80,3309,4145,Analytics,4483,4,1505
9,27,11833,,13099,48,104
16,1878,9970,Analytics,2498,4,2641
20,9149,11834,,13100,7,12
9,9150,11835,,13101,1515,1633
46,9151,11836,,13102,4,1886
46,27,10430,Analytics,11525,67,1733
36,27,11837,analytics,13103,5,2585
5,180,10280,,214,4,1
37,687,860,Analytics,885,4,2153
16,548,686,,700,111,358
17,8162,697,,11564,5,1876
24,9152,8644,,13104,4,1881
9,41,43,,43,16,1929
17,9153,11838,Analytics,13105,4,1709
12,312,393,,401,45,1142
17,9154,11839,,13106,13,278
21,27,11840,,13107,15,2323
21,9155,11841,Analytics,13108,13,2360
4,7209,9195,,10119,13,123
56,27,11842,,13109,7,105
5,27,5605,Analytics,144,13,104
53,1612,11843,,2137,15,1958
22,5034,6331,Analytics,6924,13,2517
22,27,446,,456,4,601
36,8267,10603,Analytics,11723,3,662
38,6493,8238,Analytics,9080,4,2722
42,27,9059,Analytics,9973,4,2454
32,2424,3016,Analytics,3234,5,1837
17,27,307,,310,3,1522
49,3872,4856,Analytics,5280,761,140
9,426,535,Analytics,547,155,740
53,27,11844,,13110,6,1192
19,2298,2664,Analytics,3067,5,2462
8,4443,1316,,6108,4,1485
11,8536,10989,,12150,13,1909
4,6778,8616,,9484,713,566
6,7845,10013,,11061,230,320
23,9156,11845,,13111,7,1957
23,27,10125,,11190,1082,1507
22,106,11846,,125,4,104
6,389,485,,12435,4,2190
13,4796,6043,,6589,84,2604
13,1205,1508,,1574,15,1150
50,9157,11847,,13112,49,1418
24,9158,1514,,13113,13,940
15,5248,6609,Analytics,7239,15,1646
26,8174,10473,,11579,48,2557
6,3085,3863,Analytics,4171,638,1639
35,27,9914,,13114,13,1667
18,1912,2383,Analytics,2541,13,516
23,27,4048,Analytics,1573,13,1168
35,7150,9115,,10034,22,2488
35,9159,11848,,13115,22,2218
11,9160,11849,,13116,4,1565
24,27,11,,13117,1516,1266
35,27,6104,,2979,932,339
17,27,7772,,8544,547,764
47,6716,8528,,9392,7,1142
26,9161,11850,,13118,1517,1356
3,27,11851,,13119,18,1076
40,1344,9827,,340,4,2460
35,270,9758,,347,178,731
16,9162,11852,,13120,22,1181
